,society_name,short_description,bhk,square_feet,price,description
173,Unnati The Aranya,"2 BHK Flat in Sector 119, Noida",2 BHK,"1,256 sqft",₹1.13 Cr,"This lovely 2 bhk apartment/flat in sector 119 noida is available for sale in one of noida's most popular projects, unnati the aranya. This is a north-East-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1256 sq.Ft. This flat is situated on the 15th floor of this 25 floors tall resident..."
174,Gaur Grandeur,"2 BHK Flat in Sector 119, Noida",2 BHK,"1,085 sqft",₹90 Lac,Flat is located in prime location in society sector 119 sunlight during day
175,Aims Golf Avenue 2,"2 BHK Flat in Sector 75, Noida",2 BHK,930 sqft,₹87 Lac,"This beautiful 2 bhk flat in sector 75 noida is situated in aims golf avenue 2, one of the popular residential society in noida. The flat is east-Facing. Constructed on a super built up area of 930 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 11th floor of a 18 floors tall building. This 1-5 years old property is available for immediate po..."
176,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,076 sqft",₹1.05 Cr,"Located in the popular residential address of sector 100 noida, 3c lotus boulevard is one of the most preferred destination for apartments in noida. This unregistered 2 bhk flat is your ticket to be a part of this community. The flat occupies a super built up area of 1076 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 19th level of a 26 storey building. A..."
177,Parsvnath Prestige,"2 BHK Flat in Sector 93, Noida",2 BHK,"1,215 sqft",₹1.25 Cr,"Located in the popular residential address of sector 93 noida, parsvnath prestige is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. The flat is north-East-Facing. The flat occupies a super built up area of 1215 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 1st level of a 6 sto..."
178,Amrapali Princely Estate,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,015 sqft",₹75 Lac,2 bed room drawing dining attached toilet bath tile floor modular kitchen power back up swimming pool club gym spa market and metro fully security all modern facilities.
179,3C Lotus Panache,"2 BHK Flat in Sector 110, Noida",2 BHK,"1,330 sqft",₹1.25 Cr,"2 bhk with study room for sale in one of the best societies Ready to move in at all inclusive price We have many more options in other societies of expressway/central noida and expertise in giving you the best options across noida with a perfect blend for your budget. Fair transactions,customer satisfaction and best bargains is what we follow."
180,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,019 sqft",₹1.3 Cr,"2 bhk for sale in one of the best societies Ready to move in at all inclusive price We have many more options in other societies of expressway/central noida and expertise in giving you the best options across noida with a perfect blend for your budget. Fair transactions,customer satisfaction and best bargains is what we follow."
181,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,343 sqft",₹1.4 Cr,"2 bhk with study room for sale in one of the best societies Ready to move in at all inclusive price We have many more options in other societies of expressway/central noida and expertise in giving you the best options across noida with a perfect blend for your budget. Fair transactions,customer satisfaction and best bargains is what we follow."
182,Exotica Dreamville,2 BHK Flat in Noida Extension,2 BHK,"1,235 sqft",₹96 Lac,1235 sqft fully furnished flat for sale in exotica dreamville gaur city sun facing park facing
183,Samridhi Luxuriya Avenue,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,165 sqft",₹1.06 Cr,"This 2 bhk apartment is available for sale in samridhi luxuriya avenue, one of the most prominent projects for flats in sector 150 noida. The flat is north-East-Facing. Constructed on a super built up area of 1165 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and more than 3 balconies. The flat has a total of 23 floors and this property is situated on 19th floor. An added advantage of th..."
184,Samridhi Luxuriya Avenue,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,165 sqft",₹1.14 Cr,"Situated in sector 150 noida, samridhi luxuriya avenue is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. The flat is facing the east direction. The flat is over 1165 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. The residential building..."
185,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,"1,082 sqft",₹90 Lac,One of the best facing house with proper ventilation and sunlight.
186,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,095 sqft",₹1.25 Cr,Available for sale 2 bhk in ace parkway sector150 newly constructed society.Well connected as well as well maintained best connectivity to noida gr noida expressway as well as yamuna expressway way close to metro station 148 noida
187,Exotica Fresco,2 BHK Flat in Sector 137 Noida,2 BHK,"1,110-1,250 sqft",₹1.28 - 1.44 Cr,"Make Exotica Fresco your next home. This project offers 2 BHK flats in Sector 137, Noida. With a super built-up area ranging from 1110.0 sq. ft. to 1250.0 sq. ft., these flats combine the finest design and amenities in Noida to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. The features an..."
188,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"9,072 sqft",₹60 Lac,"Green beauty farms/alaska green farms offers you luxury farm house in noida at very affordable price. Book your own 3bhk farm house at the price of flat. Same day registry and mutation. Farmhouse having the amenities:- ~suitable for home, weekend home, holiday home, family get together, pool party, b'day party, anniversary, organic farming like vegetables and fruits. ~more than 750 developed fa..."
189,Grand Omaxe,"2 BHK Flat in Sector 93 B, Noida",2 BHK,"1,110 sqft",₹1.3 Cr,Beautiful location registered flat for sell in grand omaxe..
190,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"2,070 sqft",₹2.3 Cr,"Nestled in the heart of sector 128, noida, jaypee greens kalypso court is one of the most sought-After spots for apartments here. This lovely 2bhk flat could be your gateway to becoming a part of this warm community. Featuring 2 spacious bedrooms,2 bathrooms, and a charming balcony, this flat spans an impressive super built-Up area of 2070 sq.Ft. Perched on the 12th floor of a 24-Story building..."
191,Jaypee Greens The Pavilion Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,351 sqft",₹1.15 Cr,"Jaypee greens the pavilion court is one of noida's most sought after destination for apartments and this 2 bhk flat in sector 128 noida is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 1351 sq.Ft. The flat has a total of 12 floors and this property is situated on..."
192,Gaur 16th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,205 sqft",₹83 Lac,"Situated in noida extension, gaur 16th avenue is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. This is a north-East-Facing property. The flat occupies a super built up area of 1205 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. This flat is situated on the 7th floor..."
193,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"2,100 sqft",₹2.1 Cr,The kalypso court at jaypee greens noida are masterfully crafted apartment that celebrate the high efficiency of modern lifestyle with special emphasis on providing excellent views of the landscaped greens from all key spaces of your home. These jaypee apartments offer access to social clubs and other recreational facilities for the entire family. The traditional format of separating the differ...
194,Great Value Sharanam,"2 BHK Flat in Sector 107, Noida",2 BHK,"1,139 sqft",₹1.35 Cr,"This lovely 1 bhk apartment/flat in sector 107 noida is available for sale in one of noida's most popular projects, great value sharanam. The flat occupies a super built up area of 786 sq.Ft. That consists of 2 bedroom, 2 bathroom and 2 balconies. The residential building has 21 floors in total and the flat for sale is located on the ground floor. An added advantage of this 1-5 years old flat i..."
195,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,955 sqft,₹68 Lac,"Main road facing 2bhk semi furnished flat in newly constructed society 14th avenue. Mivan costruction and amazing amenities with club house, swimming pool, basketball court, tennis court, temple, multi kids playing areas, central park, walkin track, running track, amphitheatre, etc."
196,Grand Omaxe,"2 BHK Flat in Sector 93 B, Noida",2 BHK,"1,110 sqft",₹1.8 Cr,1. Reputed builder 2. 85 percent open space provided in society 3. Huge gardens 4. Tennis courts 5. Spa 6. Health club 7. Gym
197,"Sector 132,, Noida","2 Bedroom Farm house in Sector 132, Noida",2 BHK,"9,072 sqft",₹90 Lac,"Farmland for farmhouses in noida ( 90 lacs of minimum area 1008 sq-Yd. Land ), if u like as it is farm that are given in the picture, it will charged up extra It includes-: * 3 rooms, swimming pool, party lawn, servent cottage, barbiequ-Place, bar-Place. Machaan, parking space, submersible, plantations etc. Our farm premise is under 3600 bigaah/900 acres. Amenities -: * 3 common club houses. * ..."
198,Paras Tierea,2 BHK Flat in Sector 137 Noida,2 BHK,925 sqft,₹62 Lac,"Check out this 2 bhk apartment for sale in paras tierea, a popular residential project that houses in-Demand flats in sector 137 noida. The flat is north-East-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 925 sq.Ft. This flat is situated on the top floor of this 18 floors tall residential building. Being a ready to move project, ..."
199,Panchsheel Pratishtha,"2 BHK Flat in Sector 75, Noida",2 BHK,"1,310 sqft",₹1.5 Cr,"Looking for a 2 bhk property for sale in noida? Buy this 2 bhk flat in panchsheel pratishtha that is situated in sector 75 noida. The flat is east-Facing. The flat is over 1310 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat is situated on the 8th floor of this 17 floors tall residential building. An added advantage of this 1-5 years old flat is th..."
200,Amrapali Silicon City,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,035 sqft",₹96.25 Lac,"This 2 bhk apartment is available for sale in amrapali silicon city, one of the most prominent projects for flats in sector 76 noida. This is a south-West-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 1035 sq.Ft. This flat is situated on the 8th floor of this 16 floors tall ..."
201,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"16,020 sqft",₹98 Lac,Farm house available for sale sector 135 noida
