,society_name,short_description,bhk,square_feet,price,description
57,Gaur City 2 11Th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,010 sqft",₹74 Lac,"This lovely 2 bhk apartment/flat in noida extension is available for sale in one of noida's most popular projects, gaur city 2 11th avenue. This residential flat is north-East-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1010 sq.Ft. The flat has a total of 20 floors and this property is situated on 10th floor. An added..."
58,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"2,080 sqft",₹2.45 Cr,"This lovely 2 bhk apartment/flat in sector 128 noida is available for sale in one of noida's most popular projects, jaypee greens kalypso court. This residential flat is north-West-Facing direction. Constructed on a super built up area of 2080 sq.Ft., the flat comprises 2 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 18th level of a 24 storey building. As the project is already..."
59,Gulshan Vivante,2 BHK Flat in Sector 137 Noida,2 BHK,"1,080-1,175 sqft",₹1.3 - 1.41 Cr,"Make Gulshan Vivante your next home. This project offers 2 BHK flats in Sector 137, Noida. With a super built-up area ranging from 1080.0 sq. ft. to 1175.0 sq. ft., these flats combine the finest design and amenities in Noida to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. The features a..."
60,Mahagun Moderne,2 BHK Flat in Sector 78 Noida,2 BHK,"1,290 sqft",₹1.55 Cr,"Mahagun moderne is one of noida's most sought after destination for apartments and this 2 bhk flat in sector 78 noida is your opportunity to be a part of this community. This property faces the south-East direction. Constructed on a super built up area of 1290 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The flat has a total of 28 floors and this property is situated on..."
61,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,130 sqft",₹1.1 Cr,"Located in the popular residential address of sector 77 noida, griha pravesh is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. This residential flat is east-Facing direction. Constructed on a built up area of 1130 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 18 floors ..."
62,Elite Golf Greens,"2 BHK Flat in Sector 79, Noida",2 BHK,"1,215-1,385 sqft",₹1.46 - 1.66 Cr,"Book your 2 BHK apartment in Sector 79, Noida at a price ranging from Rs. 1.46 Crore to Rs. 1.66 Crore. The Elite Golf Greens hosts exclusively designed 8 towers, each presenting an epitome of class and simplicity. The residential apartments have a super built-up area of 1215.0 sq. ft. to 1385.0 sq. ft. and are a ready to move. With an impressive layout and a comprehensive range of amenities, l..."
63,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,955 sqft,₹69.5 Lac,"Gaur city 2 14th avenue is one of the most popular destination for buying apartments/ flats in noida extension. You too can be a part of this society by purchasing this 2 bhk flat here. This is a north-East-Facing property. The flat occupies a super built up area of 955 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. The property is located on the 12th floor of a 27 f..."
64,Paras Tierea,2 BHK Flat in Sector 137 Noida,2 BHK,"1,195 sqft",₹85 Lac,"This 2 bhk flat is located in paras tierea, which houses some of the most spacious flats in sector 137 noida. The flat is facing the east direction. Constructed on a super built up area of 1195 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 16 floors in total and the flat for sale is located on the 3rd floor. As the project is already ready to..."
65,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,890 sqft,₹75 Lac,"This 2 bhk apartment is available for sale in supertech ecociti, one of the most prominent projects for flats in sector 137 noida. This property faces the north-East direction. The flat is over 890 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The residential building has 15 floors in total and the flat for sale is located on the 11th floor. An added advan..."
66,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,"1,082 sqft",₹75 Lac,"Supertech ecociti is one of noida's most sought after destination for apartments and this 2 bhk flat in sector 137 noida is your opportunity to be a part of this community. The flat occupies a super built up area of 1082 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. This flat is situated on the 13th floor of this 20 floors tall residential building. This 5-10 years old proper..."
67,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,122 sqft",₹1.4 Cr,"Registered and semi-Furnished flat, society club , society market , exit/entry gate in vicinity 50 meter distance . No apartment in front of this apartment. Green belt in front and lawn in back of apartment. Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay..."
68,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,942 sqft,₹73.5 Lac,"2 bhk corner and comfortable flat with 2 bathrooms is having large green view. With its lush green surroundings and state-Of-The-Art modern facilities , jaypee kosmos greens is all decked up to set a new standard of luxurious living in affordable price. Located in largest township of north india. Township is beautifully crafted having all the basic necessities for a family like school, malls, h..."
69,Godrej Woods,"2 BHK Flat in Sector 43, Noida",2 BHK,"1,255 sqft",₹2.15 Cr,"This beautiful 2 bhk flat in sector 43 noida is situated in godrej woods, one of the popular residential society in noida. The flat is north-East-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1255 sq.Ft. The property is located on the 8th floor of a 34 floors tall building. An added advantage ..."
70,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,040 sqft",₹77.5 Lac,"Gaur city 2 14th avenue is one of the most popular destination for buying apartments/ flats in noida extension. You too can be a part of this society by purchasing this 2 bhk flat here. This property faces the east direction. Constructed on a super built up area of 1040 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 22nd floor of a 30 floors..."
71,Jaypee Greens Kosmos Heights,"2 BHK Flat in Sector 128, Noida",2 BHK,961 sqft,₹76 Lac,"Ground floor, corner flat, main road facing. Ideal for clinic & ca, cs"
72,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"2,661 sqft",₹2.48 Cr,"Jaypee greens kalypso court is one of the most popular destination for buying apartments/ flats in sector 128 noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is north-East-Facing. Containing 2 bedroom(s), 3 bathrooms and 1 balcony, this flat is spread over a super built up area of 2661 sq.Ft. The residential building has 24 floors in total and the flat ..."
73,Amrapali Silicon City,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,180 sqft",₹94.5 Lac,"For sale 2 bhk with study in central noida 7 min walking distance to sec.76 metro station.Sun. Facing unit with excellent ventilation and view. The unit is registered , bank loan available."
74,The Hyde Park,2 BHK Flat in Sector 78 Noida,2 BHK,"1,010 sqft",₹1.14 Cr,"Good location, good builder profile, near market, near ved van, maintained parks"
75,Jaypee Greens The Pavilion Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,350 sqft",₹1.4 Cr,"Jaypee greens the pavilion court in sector 128 noida is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 1bhk, 2bhk, 3bhk, 4bhk and 5bhk apartments available in this project. This housing society is now ready to be called home as fa..."
76,Jaypee Greens The Pavilion Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,350 sqft",₹1.3 Cr,"Jaypee greens the pavilion court in sector 128 noida is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 1bhk, 2bhk, 3bhk, 4bhk and 5bhk apartments available in this project. This housing society is now ready to be called home as fa..."
77,RWA Sector 51 A And B Block,"2 BHK Independent Builder Floor in Sector 51, Noida",2 BHK,"1,205 sqft",₹3.5 Cr,112 sq. Meter independent builder floor for sale
78,Amrapali HeartBeat City,"2 BHK Flat in Sector 107, Noida",2 BHK,"1,195 sqft",₹95.6 Lac,Its well connected society and have spacious society and each floor have each flat own lift
79,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,398 sqft",₹1.68 Cr,"This beautiful 2 bhk flat in sector 100 noida is situated in 3c lotus boulevard, one of the popular residential society in noida. This residential flat is north-East-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1398 sq.Ft. The flat has a total of 24 floors and this property is situated on 8th floor. An added advantage ..."
80,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,890 sqft,₹75 Lac,"This 2 bhk flat is located in supertech ecociti, which houses some of the most spacious flats in sector 137 noida. This property faces the north-East direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 890 sq.Ft. This flat is situated on the 10th floor of this 15 floors tall residential building. As the project is already ready to m..."
81,Antriksh Golf View,2 BHK Flat in Sector 78 Noida,2 BHK,"1,212 sqft",₹88 Lac,"2bhk plus study, metro facing, lower floor, brand new interior with extended kitchen available for sale in antriksh golf view 1. Pl cal for more details"
82,Paras Tierea,2 BHK Flat in Sector 137 Noida,2 BHK,"1,070 sqft",₹70 Lac,Sunlit apartment available for sale in paras tierea. Pl cal for more details
83,Antriksh Golf View,2 BHK Flat in Sector 78 Noida,2 BHK,"1,245 sqft",₹93 Lac,Top floor unit available for sale. Pl cal for more details
84,Gulshan Botnia,"2 BHK Flat in Sector 144, Noida",2 BHK,"1,025 sqft",₹1.25 Cr,"Situated in sector 144 noida, gulshan botnia is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. This residential flat is north-West-Facing direction. The flat occupies a carpet area of 1025 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. The residential build..."
85,Gaur City 10Th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,175 sqft",₹82.25 Lac,"This 2 bhk apartment is available for sale in gaur city 10th avenue, one of the most prominent projects for flats in noida extension. This property faces the north-East direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies with study room, this flat is spread over a super built up area of 1175 sq.Ft. The residential building has 14 floors in total and the flat for sale is located on t..."
86,RG Residency,"2 BHK Flat in Sector 120, Noida",2 BHK,"1,093 sqft",₹82 Lac,"This beautiful 2 bhk flat in sector 120 noida is situated in rg residency, one of the popular residential society in noida. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1093 sq.Ft. This flat is situated on the top floor of this 10 floors tall residential building. This 5-10 years old property is available for immediate possession as the..."
87,Gardenia Glory,"2 BHK Flat in Sector 46, Noida",2 BHK,"950-1,150 sqft",₹61.75 - 74.75 Lac,"This well-known project offers 2 BHK apartments in Sector 46, Noida. With a super built-up area, ranging from 950.0 sq. ft. to 1150.0 sq. ft., the apartments are available at an economical price range of Rs. 61.75 Lac to Rs. 74.75 Lac. There are 20 towers. A close attention has been paid to each detail for a comfortable living. It has Swimming Pool, Lawn Tennis Court, Shopping Centre, Garbage D..."
88,Jaypee Greens Pavilion Court Royale,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,356 sqft",₹1.3 Cr,2 bhk plus study furnished apartment in jp pavilion height sector 128 beautiful
89,Amrapali Sapphire,"2 BHK Flat in Sector 45, Noida",2 BHK,"1,140 sqft",₹95 Lac,"Looking for a 2 bhk property for sale in noida? Buy this 2 bhk flat in amrapali sapphire that is situated in sector 45 noida. This residential flat is north-East-Facing direction. The flat occupies a super built up area of 1140 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The flat has a total of 24 floors and this property is situated on 11th floor. This is a ready to move p..."
90,Godrej Woods,"2 BHK Flat in Sector 43, Noida",2 BHK,"1,255 sqft",₹2 Cr,Property located in sector 43 noida.
91,TATA Value Homes,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,100 sqft",₹1.05 Cr,"This lovely 2 bhk apartment/flat in sector 150 noida is available for sale in one of noida's most popular projects, tata value homes. This property faces the east direction. The flat occupies a super built up area of 1100 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The flat has a total of 28 floors and this property is situated on 10th floor. An added advantage of this 1-5 ..."
92,Paras Tierea,2 BHK Flat in Sector 137 Noida,2 BHK,"825-1,070 sqft",₹57.75 - 74.9 Lac,"Make Paras Tierea your next home. This project offers 2 BHK flats in Sector 137, Noida. With a super built-up area ranging from 825.0 sq. ft. to 1070.0 sq. ft., these flats combine the finest design and amenities in Noida to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. The features and t..."
93,The Hyde Park,2 BHK Flat in Sector 78 Noida,2 BHK,"1,010 sqft",₹1.11 Cr,For sale 2 bhk with study in we'll maintained society loaded with amenities located in a fully developed vicinity just 5 min drive to sec 76 metro station.
94,AVS Orchard,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,100-1,430 sqft",₹1.1 - 1.43 Cr,"AVS Orchard offers 2 BHK apartments in Sector 77, Noida, at an affordable price range of Rs. 1.1 Crore to Rs. 1.43 Crore. These are a ready to move apartments spreading across a super built-up area of 1100.0 sq. ft. - 1430.0 sq. ft. There are a total of 8 towers in the project. The project offers inclusion of essential amenities like ATM, Amphitheatre, Multipurpose Court, Lawn Tennis Court, 24x..."
95,Eureka Park By Tata Value Homes,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,150 sqft",₹1.08 Cr,"Investors and homebuyers looking for sophisticated hi-Tech homes should check out tata eureka park in sector 150 in noida. Located in the ncr, this housing project offers a wide range of amenities besides the locational perks. The flats are of 2 bhk format. The prices starts from inr 1.25 crore*. The modern features of this gated complex are already attracting the attention of home buyers and i..."
96,Stellar One,2 BHK Flat in Noida Extension,2 BHK,"895-1,132 sqft",₹62.65 - 79.24 Lac,"Let your dream of owning a flat come true with Stellar One. It offers an exclusive range of 2 BHK flats in Noida Extension, Noida. They are available at price of Rs. 62.65 Lac - Rs. 79.24 Lac and have a super built-up area of 895.0 sq. ft. to 1132.0 sq. ft. The project is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well as features m..."
