,society_name,short_description,bhk,square_feet,price,description
77,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,378 sqft",₹3.25 Cr,"Check out this 3 bhk apartment for sale in jaypee greens star court, a popular residential project that houses in-Demand flats in jaypee greens, greater noida. This is a north-East-Facing property. The flat is over 2378 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 13th floor of a 19 floors tall building. This 5-10 years old property..."
78,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"4,500 sqft",₹19 Cr,"Are you planning to buy your dream home? You can consider this well-Built 5 bhk house for sale in jaypee greens, greater noida and make it your new address. The house has over super built up area of 500 sq.Yards and comes with 5 bedrooms, 5 bathrooms and 3 balconies. This 5 bhk house comes attached with 1 covered parking for your vehicle(s). As the property is already ready to move, so you can ..."
79,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"4,500 sqft",₹18 Cr,"Are you planning to buy your dream home? You can consider this well-Built 5 bhk house for sale in jaypee greens, greater noida and make it your new address. The house has over super built up area of 500 sq.Yards and comes with 5 bedrooms, 5 bathrooms and 3 balconies. This 5 bhk house comes attached with 1 covered parking for your vehicle(s). As the property is already ready to move, so you can ..."
80,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹3.45 Cr,"This 3 bhk apartment is available for sale in jaypee greens star court, one of the most prominent projects for flats in jaypee greens, greater noida. The flat is north-East-Facing. Constructed on a super built up area of 2200 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The property is located on the 3rd floor of a 19 floors tall building. As the project is already read..."
81,Jaypee Greens The Sun Court,"4 BHK Flat in Jaypee Greens, Greater Noida",4 BHK,"3,850 sqft",₹4.4 Cr,"Jaypee greens the sun court is one of greater noida's most sought after destination for apartments and this 4 bhk flat in jaypee greens is your opportunity to be a part of this community. Constructed on a super built up area of 3850 sq.Ft., the flat comprises 4 bedroom(s), 6 bathrooms and 2 balconies. This flat lies on the 10th level of a 30 storey building. An added advantage of this 5-10 year..."
82,Jaypee Greens The Sun Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,850 sqft",₹6 Cr,"This 3 bhk flat is located in jaypee greens the sun court, which houses some of the most spacious flats in jaypee greens, greater noida. The flat is facing the north-East direction. The flat is over 3850 sq.Ft. Super built up area and comes with 3 bedroom(s), 5 bathrooms and 3 balconies. The property is located on the 12th floor of a 30 floors tall building. As the project is already ready to m..."
83,Jaypee Greens Estate homes,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"9,000 sqft",₹36 Cr,A very great option is available for sale in jaypee greens greater noida Pure north east facing Golf facing Ponf facing ( Water body ) Approx furnished Asking price is 40 but can fix this near about 36 This deal is only for a serious and genuine buyer only Only serious and genuine buyer will called me please thanks
84,Jaypee Greens Moon Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,414 sqft",₹1.7 Cr,"Located in the popular residential address of jaypee greens, greater noida, jaypee greens moon court is one of the most preferred destination for apartments in greater noida. This 2 bhk flat is your ticket to be a part of this community. The flat is facing the north-East direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over ..."
85,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"5,381 sqft",₹19.5 Cr,Villa available for sale in land 1
86,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,817 sqft",₹2.35 Cr,Golf facing property with full wood work
87,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,817 sqft",₹2.35 Cr,One of the best society and premium society
88,Jaypee Greens Crescent Court,"1 BHK Flat in Jaypee Greens, Greater Noida",1 BHK,"1,500 sqft",₹3 Cr,"Jaypee greens crescent court is one of greater noida's most sought after destination for apartments and this 1 bhk flat in jaypee greens is your opportunity to be a part of this community. Containing 1 bedroom(s), 1 bathroom and 2 balconies, this flat is spread over a carpet area of 1500 sq.Ft. The residential building has 22 floors in total and the flat for sale is located on the 5th floor. Th..."
89,Jaypee Greens Villas,"5 BHK Flat in Jaypee Greens, Greater Noida",5 BHK,"2,700 sqft",₹15 Cr,"This beautiful 5 bhk flat in jaypee greens, greater noida is situated in jaypee greens villas, one of the popular residential society in greater noida. The flat is facing the east direction. The floor plan additionally contains 5 bedroom(s), 5 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 300 sq.Yards. This flat lies on the top level of a 3 st..."
90,Jaypee Greens Crescent Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,550 sqft",₹6.5 Cr,"Looking for a 3 bhk property for sale in greater noida? Buy this 3 bhk flat in jaypee greens crescent court that is situated in jaypee greens, greater noida. The flat is east-Facing. The flat is over 3550 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and 2 balconies. This flat lies on the 6th level of a 22 storey building. This 1-5 years old property is available for immed..."
91,Jaypee Greens Moon Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,450 sqft",₹1.7 Cr,"This 2 bhk flat is located in jaypee greens moon court, which houses some of the most spacious flats in jaypee greens, greater noida. The flat is east-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1450 sq.Ft. The property is located on the 7th floor of a 19 floors tall building. An added advan..."
92,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,350 sqft",₹3.05 Cr,"A spacious 3 bedroom semi furnished apartment is available for sale in gated society. All basic needs like grocery products, milk vegetables etc are in same premises."
93,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,376 sqft",₹3.15 Cr,Ready to move property At located at 11th floor Golf view property 2 car parking covered
94,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹3.3 Cr,"Wood work done Kitchen modular Geyser and aircon installed Gym , pool , club Close to pari chowk and alpha .1 metro station Market inside jaypee campus Hdfc bank available in campus Social club , boomrang club , resort , sports complex everything inside the campus of jaypee greens personal car parking"
95,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹2.55 Cr,Starcourt jaypee greens 3bhk plus servant
96,Jaypee Greens The Sun Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,850 sqft",₹5.5 Cr,Sun court jaypee greens View 18 hole golf course Luxury apartment in greater noida
